date,CVX,GSCI
2011/8/28,-0.004553459,0.005744748
2011/9/4,-0.012735036,-0.006900104
2011/9/11,0.04558843,-0.006083327
2011/9/18,-0.101542549,-0.08604822
2011/9/25,0.028260369,-0.013859871
2011/10/2,0.019359929,0.026083616
2011/10/9,0.062318102,0.050282468
2011/10/16,0.049136097,-0.011457305
2011/10/23,0.038206999,0.034160491
2011/10/30,-0.029714779,0.001779895
2011/11/6,0.005808523,0.018505715
2011/11/13,-0.089553776,-0.02647377
2011/11/20,-0.058806445,-0.019308549
2011/11/27,0.096993177,0.034309683
2011/12/4,0.024862891,-0.017163459
2011/12/11,-0.033058444,-0.04620536
2011/12/18,0.063757431,0.044280995
2011/12/25,-0.010285271,-0.001491488
2012/1/1,0.017791909,0.026001576
2012/1/8,-0.020709695,-0.015786979
2012/1/15,0.007512478,0.000729395
2012/1/22,-0.027794059,0.022183634
2012/1/29,0.014704743,-0.000316864
2012/2/5,-0.002087485,0.010362888
2012/2/12,0.013022738,0.022138523
2012/2/19,0.022435353,0.038585375
2012/2/26,0.004847053,-0.015716466
2012/3/4,-0.000364997,0.004048631
2012/3/11,0.006458972,0.004440626
2012/3/18,-0.03619302,-0.009956899
2012/3/25,0.007959961,-0.021007701
2012/4/1,-0.023212969,0.000622563
2012/4/8,-0.038636636,-0.010164802
2012/4/15,0.017117978,-0.008531367
2012/4/22,0.035266207,0.011864409
2012/4/29,-0.023629148,-0.046125017
2012/5/6,-0.009980219,-0.016991414
2012/5/13,-0.042064367,-0.020571214
2012/5/20,0.004054334,-0.014386219
2012/5/27,-0.025094777,-0.065809479
2012/6/3,0.044925172,0.012289481
2012/6/10,0.03402385,-0.009490935
2012/6/17,-0.037998418,-0.032980355
2012/6/24,0.049150419,0.061452576
2012/7/1,-0.004084158,0.009479265
2012/7/8,0.008906635,0.026161322
2012/7/15,0.029556055,0.048202397
2012/7/22,0.000640879,-0.01561113
2012/7/29,0.016880335,0.009114853
2012/8/5,0.02163257,0.013136404
2012/8/12,-0.007868835,0.017138612
2012/8/19,-0.00578628,0.004416081
2012/8/26,0.00133827,0.006722512
2012/9/2,0.016272025,0.002384149
2012/9/9,0.028109959,0.025624739
2012/9/16,0.004679864,-0.044541326
2012/9/23,-0.010582109,0.002649188
2012/9/30,0.008032172,-0.009198644
2012/10/7,-0.047314658,0.008565601
2012/10/14,0.011621333,-0.014010558
2012/10/21,-0.019594499,-0.026381588
2012/10/28,-0.025599212,-0.02039109
2012/11/4,-0.023622778,0.016374693
2012/11/11,-0.033041807,0.000941408
2012/11/18,0.02953984,0.019880175
2012/11/25,0.002083729,0.000391123
2012/12/2,0.012225091,-0.02676844
2012/12/9,0.007727798,0.006711717
2012/12/16,0.017377351,0.003058527
2012/12/23,-0.030165129,0.00832164
2012/12/30,0.03734013,0.003520145
2013/1/6,0.011069726,0.004438825
2013/1/13,0.030931664,0.017171878
2013/1/20,0.008295934,0.00288702
2013/1/27,0.002578429,0.0243068
2013/2/3,-0.007409356,-0.001339675
2013/2/10,-0.005897675,-0.003237444
2013/2/17,0.008661062,-0.026726917
2013/2/24,0.008073564,-0.023799947
2013/3/3,0.014184635,0.009548817
2013/3/10,0.009318011,0.005670441
2013/3/17,0.012455529,-0.009243182
2013/3/24,-0.019667301,0.013136123
2013/3/31,-0.011001211,-0.041758028
2013/4/7,0.020383086,-0.008137035
2013/4/14,-0.034263867,-0.025461469
2013/4/21,0.03509727,0.024058288
2013/4/28,0.028335161,0.014031622
2013/5/5,-0.002107653,-0.002731572
2013/5/12,0.001540645,0.004257936
2013/5/19,0.0163141,-0.012179271
2013/5/26,-0.021757506,-0.014419676
2013/6/2,-0.008590767,0.025018706
2013/6/9,-0.011736642,0.000294386
2013/6/16,-0.011287273,-0.034151498
2013/6/23,-0.004973247,0.002052994
2013/6/30,0.0181709,0.036498412
2013/7/7,0.029032583,0.016591211
2013/7/14,0.022712854,0.009313079
2013/7/21,0.005108668,-0.02151125
2013/7/28,-0.020673185,0.009274848
2013/8/4,-0.019802627,-0.01257404
2013/8/11,-0.021619788,0.023683102
2013/8/18,-0.002923857,-0.000815042
2013/8/25,0.007501285,0.011720017
2013/9/1,0.006455907,0.011014662
2013/9/8,0.023885383,-0.021777939
2013/9/15,0.006263571,-0.017681089
2013/9/22,-0.018420298,-0.003510559
2013/9/29,-0.037467522,0.001338854
2013/10/6,-0.003901616,0.001900147
2013/10/13,0.016686718,0.000263572
2013/10/20,0.007825548,-0.022583278
2013/10/27,-0.021626995,-0.019607192
2013/11/3,0.026590195,-0.003746576
2013/11/10,-0.009367944,0.011359503
2013/11/17,0.032531854,0.012018289
2013/11/24,-0.012902358,-0.006842019
2013/12/1,-0.001225841,0.018884701
2013/12/8,-0.019737211,-0.013292072
2013/12/15,0.023736074,0.021428499
2013/12/22,0.019757911,0.005579899
2013/12/29,-0.007051876,-0.041814351
2014/1/5,-0.027226983,-0.006747647
2014/1/12,-0.014315684,0.008579376
2014/1/19,-0.025470432,0.015013053
2014/1/26,-0.04089724,-0.004188365
2014/2/2,0.003755369,0.020451989
2014/2/9,0.01268141,0.00776289
2014/2/16,-0.007074667,0.016761458
2014/2/23,0.023245641,-0.001902462
2014/3/2,-0.002170046,0.005525583
2014/3/9,-0.008552282,-0.01417653
2014/3/16,0.013320181,-0.00460964
2014/3/23,0.024517522,0.014844507
2014/3/30,0.002528446,-0.008456769
2014/4/6,-0.015011095,0.01088407
2014/4/13,0.055267273,0.013755512
2014/4/20,0.002503332,-0.005438406
2014/4/27,0.005870308,-0.010335221
2014/5/4,0.002482484,-0.005611155
2014/5/11,-0.014907008,0.008548887
2014/5/18,0.00154127,0.008465791
2014/5/25,-0.004712391,-0.013415098
2014/6/1,0.011337072,-0.004635342
2014/6/8,0.024419587,0.021161606
2014/6/15,0.039142131,0.012645879
2014/6/22,-0.015074515,-0.008136619
2014/6/29,0.0063468,-0.015408043
2014/7/6,-0.02095124,-0.035177354
2014/7/13,0.014834545,0.000318634
2014/7/20,0.024095726,0.00514305
2014/7/27,-0.043376976,-0.026638436
2014/8/3,-0.000312793,-0.000702432
2014/8/10,-0.013860672,-0.015702802
2014/8/17,0.00797761,-0.007409352
2014/8/24,0.018241853,0.01309598
2014/8/31,-0.015962963,-0.017451115
2014/9/7,-0.037915443,-0.024764586
2014/9/14,0.017296156,-0.004551515
2014/9/21,-0.027045137,-0.000835163
2014/9/28,-0.031443346,-0.029127765
2014/10/5,-0.032990902,-0.020539848
2014/10/12,-0.01852151,-0.025691471
2014/10/19,0.036102467,-0.005812883
2014/10/26,0.034260961,0.004626765
2014/11/2,-0.009633582,-0.01022515
